AFF_LOVE_POINT	Punkty Miłosne: %d%%
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz przesuwać przedmiotów, jeśli masz otwarty prywatny Magazyn.
MUSIC_EMPTY_MUSIC_LIST	Brak muzyki w tle.
MUSIC_METIN2_DEFAULT_THEMA	Standardowa muzyka Metin2
MUSIC_NOT_SELECT_MUSIC	Plik z muzyką nie został wybrany.
NEEFD_REST	Musisz najpierw odpocząć.
NOT_YET_SUPPORT	Nie jest obsługiwany
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Aby aktywować ten tryb musisz należeć do jakiejś Gildii.
OPTION_PVPMODE_NOT_SUPPORT	Nie możesz wybrać tej konfiguracji w Trybie PvP.
OPTION_PVPMODE_PROTECT	Musisz mieć co najmniej %d poziom, aby móc zmienić tryb PvP.
PARTY_BONUS_ATTACKER	Wartość Ataku: +%d	SA
PARTY_BONUS_BERSERKER	Szybkość Ataku: +%d	SA
PARTY_BONUS_BUFFER	Czas Trwania: +%d	SA
PARTY_BONUS_DEFENDER	Obrona: +%d	SA
PARTY_BONUS_EXP	Bonus DOŚ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Maks. PE: +%d	SA
PARTY_BONUS_TANKER	Maks. PŻ: +%d	SA
PARTY_BREAK_UP	Usuń Grupę
PARTY_DO_YOU_ACCEPT	 chce dołączyć do grupy.
PARTY_DO_YOU_JOIN	Czy chcesz dołączyć do grupy gracza: 
PARTY_EXP_DISTRIBUTION_MODE	Podział DOŚ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	według poziomu
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Członkowie grupy o wyższym poziomie otrzymują więcej PD.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	równo
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Wszyscy otrzymują taką samą ilość PD.
PARTY_HEAL_ALL_MEMBER	Odnów wszystko.
PARTY_INCREASE_AREA_150	Zasięg grupy zwiększony o współczynnik 1,5.	SNA
PARTY_INCREASE_AREA_200	Zasięg grupy zwiększony o współczynnik 2.	SNA
PARTY_LEAVE	Opuść grupę
PARTY_LONGTIME_BONUS_EXP	Bonus DOŚ za długą grę grupową: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Wezwij członka grupy.
PARTY_REGEN_BONUS	Bonus za PŻ- + PE regeneracja: +%d%%	SA
PARTY_REQUEST_DENIED	Odrzucono zaproszenie.
PARTY_SET_ATTACKER	Ustanów jako Atakującego.
PARTY_SET_BERSERKER	Ustanów jako Berserker.
PARTY_SET_BUFFER	Ustanów jako Blokującego.
PARTY_SET_DEFENDER	Ustanów jako Obrońcę.
PARTY_SET_NORMAL	Wycofaj bonus.
PARTY_SET_SKILL_MASTER	Ustanów jako Mistrza Umiejętności.
PARTY_SET_TANKER	Ustanów jako Walczącego W Zwarciu.
PARTY_SKILL_ATTACKER	Podstawowa Wartość Ataku +%.0f
PARTY_SKILL_BERSERKER	Szybkość Ataku +%.0f
PARTY_SKILL_BUFFER	Czas trwania +%.0f
PARTY_SKILL_DEFENDER	Obrona jako obrońca +%.0f%%
PARTY_SKILL_HP_REGEN	Regeneracja PŻ +%.0f%%
PARTY_SKILL_PARTY_AREA	Zasięg Grupy +%d%%
PARTY_SKILL_SKILL_MASTER	Regeneracja PŻ jako Mistrza Umiejętności +%.0f%%
PARTY_SKILL_SP_REGEN	Regeneracja PE +%.0f%%
PARTY_SKILL_TANKER	Max PŻ +%.0f
PARTY_SKILL_WARP	Możliwe wezwanie członków grupy.
PASSWORD_TITLE	Hasło do magazynu
PICK_ITEM_TITLE	Numer Przedmiotu
PICK_MONEY_TITLE	Kwota
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nie możesz sprzedać tego Przedmiotu w prywatnym Magazynie.
PRIVATE_SHOP_CLOSE_QUESTION	Czy chcesz zamknąć prywatny Magazyn?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Wpisz nazwę swojego Sklepu.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PVP_LEVEL0_M	Rycerski
PVP_LEVEL1_M	Szlachetny
PVP_LEVEL2_M	Dobry
PVP_LEVEL3_M	Przyjazny
PVP_LEVEL4_M	Neutralny
PVP_LEVEL5_M	Agresywny
PVP_LEVEL6_M	Nieuczciwy
PVP_LEVEL7_M	Złośliwy
PVP_LEVEL8_M	Okrutny
PVP_LEVEL0_F	Rycerska
PVP_LEVEL1_F	Szlachetna
PVP_LEVEL2_F	Dobra
PVP_LEVEL3_F	Przyjazna
PVP_LEVEL4_F	Neutralna
PVP_LEVEL5_F	Agresywna
PVP_LEVEL6_F	Nieuczciwa
PVP_LEVEL7_F	Złośliwa
PVP_LEVEL8_F	Okrutna
PVP_MODE_GUILD	PvP - gildia aktywowana
PVP_MODE_KILL	PvP - tryb wolny aktywowany
PVP_MODE_NORMAL	PvP - tryb pokojowy aktywowany.
PVP_MODE_PROTECT	Aktywowano ochronę przed PvP
PVP_MODE_REVENGE	PvP - tryb wrogi aktywowany
PVP_OPTION_KILL	Wolny
PVP_OPTION_NORMAL	Pokojowy
PVP_OPTION_PROTECT	Ochrona
PVP_OPTION_REVENGE	Wrogi
QUEST_APPEND	Otrzymano Nową Misję.
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Koniec czasu
QUEST_UNLIMITED_TIME	Brak limitu czasowego.
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Ten Przedmiot nie może zostać dodany do Szybkiego Pola Dostępu.
RECEIVE_MESSAGE	%s wysłał Ci wiadomość.
REFINE_COST	Cena za Ulepszenie: %d Yang
REFINE_DESTROY_WARNING	Ten przedmiot może zostać zniszczony podczas uszlachetnienia.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	To zwiększy szanse na ulepszenie,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	ale jeśli zawiedziesz, Przedmiot zostanie zniszczony. Czy chcesz kontynuować?
REFINE_DOWN_GRADE_WARNING	Przedmiot może zostać zdegradowany w ten sposób.
REFINE_DO_YOU_SEPARATE_METIN	Czy chcesz usunąć wszystkie Kamienie Duszy?
REFINE_FAILURE	Oj, nie udało się. Zawiedliśmy.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nie może zostać uwzględniony w tym Przedmiocie.
REFINE_FAILURE_EQUIP_ITEM	Nie możesz ulepszać założonych przedmiotów.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Żaden Kamień Duszy nie może zostać wyjęty.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potrzebujesz lepszego Zwoju.
REFINE_FAILURE_NO_GOLD_SOCKET	Nie ma Złotej Kieszeni by uwzględnić %s .
REFINE_FAILURE_NO_MORE_SOCKET	Nie możesz zrobić więcej Kieszeni.
REFINE_FAILURE_NO_SOCKET0	Nie ma kieszeni, w której można umieścić %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Nie możesz zrobić żadnych Kieszeni w tym Przedmiocie.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Ten Przedmiot nie może zostać ulepszony.
REFINE_FAILURE_DEL_ITEM	Uszlachetnienie nie powiodło się. Przedmiot został zniszczony.
REFINE_SUCCESS	Przedmiot został ulepszony.
REFINE_SUCCESS_PROBALITY	Szansa na Ulepszenie: %d%%
REFINE_WARNING2	Czy chcesz kontynuować?
SAFEBOX_ERROR	Wprowadziłeś złe hasło.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nie możesz sprzedać żadnego z zachowanych Przedmiotów.
SAFEBOX_WRONG_PASSWORD	Hasła muszą być identyczne.
SCREENSHOT_SAVE	Pomyślnie zapisano zrzut ekranu w folderze screenshot.
SCREENSHOT_SAVE_FAILURE	Niepomyślny zapis zrzutu obrazu.
SECOND	Sekund
SELECT_CAN_NOT_DELETE	Nie możesz usunąć postaci.
SELECT_CHANGED_NAME	Zmieniłeś nazwę postaci.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Ta nazwa postaci już istnieje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Spróbuj ponownie.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Nazwa postaci nie może zawierać znaków specjalnych.
SELECT_CHANGE_NAME_TITLE	Zmień nazwę postaci.
SELECT_DELEING	Postać zostanie usunięta.
SELECT_DELETED	Usuwanie pomyślne.
SELECT_DO_YOU_DELETE_REALLY	Czy chcesz kontynuować?
SELECT_EMPTY_SLOT	To jest wolne pole.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Wprowadź nową nazwę postaci.
SELECT_NOT_JOIN_GUILD	Brak Gildii
CHARACTER_SELECT_MODE	Wybierz postać
SHOP_BUY_INFO	Wybierz z wystawy przedmiot, który chcesz kupić.
SHOP_CANNOT_SELL_EQUIPMENT	Nie możesz sprzedawać ubranych przedmiotów.
SHOP_CANNOT_SELL_ITEM	Ten Przedmiot nie może zostać sprzedany.
SHOP_ERROR_UNKNOWN	Nieznany Błąd Sklepu: %s
SHOP_INVALID_POS	Ten Przedmiot nie może zostać tu użyty.
SHOP_INVENTORY_FULL	Nie ma miejsca w ekwipunku.
SHOP_NOT_ENOUGH_MONEY	Nie posiadasz wystarczającej ilości Yang.
SHOP_NOT_ENOUGH_MONEY_EX	Nie posiadasz wystarczającej ilości Yang.
SHOP_SELL_INFO	Wybierz w oknie ekwipunku przedmiot, który chcesz sprzedać.
SHOP_SOLDOUT	Wyprzedany
SHOT_ERROR_UNKNOWN	Nieznany błąd podczas ataku z dystansu: %s
SKILL_BOHO	Odbicie
SKILL_BUDONG	nie jest już używany
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Potrzebujesz DOŚ do nauki tej Umiejętności.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Potrzebujesz Księgi do nauki tej Umiejętności.
SKILL_CHEONGEUN	Silne Ciało
SKILL_CRITICAL	Cios Krytyczny
SKILL_ENCHANT_POISON	Dodaj Truciznę
SKILL_EUNHYEONG	Krycie Się
SKILL_FAINT	Omdlenie
SKILL_FIND_TRAP	Szukaj Pułapki
SKILL_FIRE	Podpalenie
SKILL_FISHMIND	Marmur Rybaka jest aktywny
SKILL_GAMJI	Złap
SKILL_GEOMGYEONG	Aura Miecza
SKILL_GEONGON	SKILL_GEONGON Niewykorzystany
SKILL_GICHEON	Pomoc Smoka
SKILL_GIGONG	Rotacja Chi
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s Wielki Mistrz
SKILL_GRADE_NAME_MASTER	%s Mistrz
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfekcyjny Mistrz
SKILL_GROUP_ASSASSIN_1	Ostrze
SKILL_GROUP_ASSASSIN_2	Łuk
SKILL_GROUP_HORSE	Jazda
SKILL_GROUP_SHAMAN_1	Smok
SKILL_GROUP_SHAMAN_2	Leczenie
SKILL_GROUP_SURA_1	Broń
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Ciało
SKILL_GROUP_WARRIOR_2	Umysł
SKILL_GWIGEOM	Czarowane Ostrze
SKILL_GYEONGGONG	Bezszelestny Chód
SKILL_HEUKSIN	Mroczna Ochrona
SKILL_HOSIN	Błogosławieństwo
SKILL_HWAYEOM	SKILL_HWAYEOM Niewykorzystany
SKILL_HYEOLMA	SKILL_HYEOLMA Niewykorzystany
SKILL_INC_ATKSPD	Zwiększona Szybkość Ataku
SKILL_INC_MOVSPD	Zwiększona Szybkość Ruchu
SKILL_INMA	SKILL_INMA niewykorzystany
SKILL_JEOJU	Klątwa
SKILL_JEONGEOP	Leczenie
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Całkowita Obrona
SKILL_JEONSINGONGGYEOK	Całkowity Atak
SKILL_JEUNGCHE	SKILL_JEUNGCHE Niewykorzystany
SKILL_JEUNGHON	SKILL_JEUNGHON Niewykorzystany
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Szybkość +
SKILL_JIGAM	SKILL_JIGAM Niewykorzystany
SKILL_JIPJUNG	SKILL_JIPJUNG Niewykorzystany
SKILL_JUMAGAP	Czarowana Zbroja
SKILL_JUMAGEOM	SKILL_JUMAGEOM Niewykorzystany
SKILL_KWAEGEOM	SKILL_KWAEGEOM Niewykorzystany
SKILL_KWAESOK	Szybkość
SKILL_LEGBOUND	SKILL_LEGBOUND Niewykorzystany
SKILL_MUSA	SKILL_MUSA Niewykorzystany
SKILL_MUYEONG	Ognisty Duch
SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
SKILL_NEED_POISON_BOTTLE	Nie mam Butelki z Trucizną
SKILL_ONLY_FOR_GUILD_WAR	Możesz używać tej Umiejętności tylko podczas Wojny Gildii.
SKILL_PABEOP	Rozproszenie Magii
SKILL_POWERFUL_STRIKE	Atak Oszałamiający
SKILL_SEOMGWANG	Bomba Błyskawic
SKILL_SINCHAK	SKILL_SINCHAK Niewykorzystany
SKILL_SLEEP	Uśpienie
SKILL_SLOW	Spowolnienie
SKILL_STUN	Ogłuszenie
SKILL_SUHO	Strażnik
SKILL_SUMMON_DESCRIPTION	Szansa na Przywołanie: %d%%
SKILL_TOOLTIP_INT	Inteligencja
SKILL_TOOLTIP_LEVEL	Poziom
SKILL_TOXICDIE	Otrucie
SKILL_TOXICPOWER	Zwiększona Wartość Ataku Trucizną
SKILL_TUSOK	Uderzenie Ducha
SKILL_WONSIN	SKILL_WONSIN Niewykorzystany
SKILL_YONGSIN	SKILL_YONGSIN Niewykorzystany
STAT_MINUS_CON	Dostosowanie Witalności (Pozostała szansa: %d)
STAT_MINUS_DEX	Dostosowanie Zręczność (Pozostała Szansa: %d)
STAT_MINUS_INT	Dostosowanie Inteligencji (Pozostałą szansa: %d)
STAT_MINUS_STR	Dostosowanie Siły (Pozostałą szansa: %d)
STAT_TOOLTIP_CON	Podwyższa PŻ i Obronę
STAT_TOOLTIP_DEX	Podwyższa atak i uniki
STAT_TOOLTIP_INT	Podwyższa PE, magiczny atak i obronę.
STAT_TOOLTIP_STR	Podwyższa Wartość Ataku i Uszkodzeń
SYMBOLLIST_TITLE	Zarejestruj Flagę Gildii
SYSTEM_OPTION_CPU_TILING_1	CPU TNL może ulepszyć szybkość słabszego PC.
SYSTEM_OPTION_CPU_TILING_2	Jeśli jest problem z grafiką, wybierz ,Opcje System lub ,CONFIG.exe;
SYSTEM_OPTION_CPU_TILING_3	i zmień na GPU TNL.
SYSTEM_OPTION_GPU_TILING_1	GPU TNL może działać wolniej na słabszych PC.
SYSTEM_OPTION_GPU_TILING_2	Jeśli zaistnieją problem z grafiką, wybierz 'Opcje Systemu' lub 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	i zmień na GPU TNL
SYSTEM_OPTION_TILING_EXIT	Aby zmienić tryb TNL trzeba zrestartować grę.
TARGET_BUTTON_ACCEPT_FIGHT	Zgoda
TARGET_BUTTON_AVENGE	Zemsta
TARGET_BUTTON_BUILDING_DESTROY	Zniszcz
TARGET_BUTTON_DISCONNECT	Kick
TARGET_BUTTON_DISMOUNT	Zsiądź
TARGET_BUTTON_EMOTION_ALLOW	Emocje
TARGET_BUTTON_EXCHANGE	Handel
TARGET_BUTTON_EXCLUDE	Wyklucz
TARGET_BUTTON_EXIT_OBSERVER	Zakończ Tryb Obserwatora
TARGET_BUTTON_FIGHT	Pojedynek
TARGET_BUTTON_FRIEND	Przyjaciel
TARGET_BUTTON_INVITE_GUILD	Zapr. Gildii
TARGET_BUTTON_INVITE_PARTY	Zapr. Grupy
TARGET_BUTTON_LEAVE_PARTY	Opuść Grupę
TARGET_BUTTON_REQUEST_ENTER_PARTY	Dołącz do Grupy
TARGET_BUTTON_VIEW_EQUIPMENT	Ekwipunek
TARGET_BUTTON_WHISPER	Szept
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stopień 5.
TARGET_LEVEL_KNIGHT	Stopień 3.
TARGET_LEVEL_PAWN	Stopień 1.
TARGET_LEVEL_S_KNIGHT	Stopień 4.
TARGET_LEVEL_S_PAWN	Stopień 2.
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	atakuj automatycznie
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Doświadczenie
TASKBAR_HP	PŻ
TASKBAR_MOVE	Ruch
TASKBAR_SKILL	Umiejętność
TASKBAR_SP	PE
TASKBAR_ST	ST
THING_COUNT	wszystko
TOOLTIP_ANTI_CRITICAL_PCT	Odporność na cios krytyczny +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Odporność na przeszywający cios +%d%%	SA
TOOLTIP_ANTI_SELL	Nie może zostać sprzedany w Magazynie
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silny przeciwko Zwierzętom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silny przeciwko Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silny przeciwko Diabłom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silny przeciwko Ludziom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silny przeciwko Mistykom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silny przeciwko Potworom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Silny przeciwko Orkom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silny przeciwko Szamanom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Silny przeciwko Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silny przeciwko Nieumarłym +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silny przeciwko Wojownikom +%d%%	SA
TOOLTIP_APPLY_BLOCK	Szansa na blok ciosów %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Odzyskiwanie PE przez 5 sekund podczas Bitwy %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Szansa na cios krytyczny +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Szansa na odzyskanie PE: %d%%	SA
TOOLTIP_APPLY_DODGE	Szansa na uniknięcie Strzały: %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Szansa na Bonus DOŚ: %d%%	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Szansa na podwójną ilość Yang: %d%%	SA
TOOLTIP_APPLY_IMMUNE_FALL	Niewrażliwy na Upadek	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Odporność na Spowolnienia	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Odporność na Omdlenia	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Szansa na podwójną ilość Przedmiotów: %d%%	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	Szansa na odzyskanie PŻ: %d%%	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	Szansa na odzyskanie PE: %d%%	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Szansa na kradzież PE	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. PŻ +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. PE +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Brak efektu
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nie tracisz Punktów Doświadczenia podczas wznawiania gry w miejscu śmierci.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Szansa na przeszywające Uderzenie: %d%% 	SA
TOOLTIP_APPLY_POISON_PCT	Szansa na Otrucie %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Odporność na Trucizny: %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Mikstury %d%% efekt podniesiony	SA
TOOLTIP_APPLY_REFLECT_CURSE	Szansa na odbicie Klątwy: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Szansa na odbicie Ciosu	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Odporność na Ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Odporność na Dzwony: %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Odporność na Sztylety: %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Odporność na Wachlarze: %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Odporność na Szamanów: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Odporność na Sura: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Odporność na Miecze: %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Odporność na Broń Dwuręczną: %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Odporność na Wojowników: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Odporność na Wiatr: %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Szansa na pomyślną naukę zwiększona o współczynnik 2.5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Jeśli trening się nie powiedzie, możesz od razu spróbować ponownie.	SNA
TOOLTIP_APPLY_SLOW_PCT	Szansa na Spowolnienie %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% obrażeń będzie dodanych do PŻ	SA
TOOLTIP_APPLY_STEAL_SP	%d%% obrażeń będzie dodanych do PE	SA
TOOLTIP_APPLY_STUN_PCT	Szansa na Omdlenie %d%%	SA
TOOLTIP_ARMOR	Zbroja
TOOLTIP_ARROW	Strzała
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Wartość Ataku +%d	SA
TOOLTIP_ATT_SPEED	Szybkość Ataku +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Eliksir Słońca
TOOLTIP_AUTO_POTION_REST	Pozostało: %.2f%%
TOOLTIP_AUTO_POTION_SP	Eliksir Księżyca
TOOLTIP_AUTO_POTION_USING	Aktywny
TOOLTIP_BOW_DISTANCE	Zasięg Łuku +%dm	SA
TOOLTIP_BUYPRICE	%s Yang
TOOLTIP_FREE_ITEM	Przedmiot darmowy		
TOOLTIP_CAST_SPEED	Szybkość Zaklęcia +%d%%	SA
TOOLTIP_CON	Witalność +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus kostiumu %d%% 	SA
TOOLTIP_DEF_GRADE	Obrona +%d	SA
TOOLTIP_DEX	Zręczność +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Ziemia	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Niebo	SNA
TOOLTIP_EAR	Kolczyki
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	I tak dalej
TOOLTIP_FISHINGROD_EXP	Punkty %d / %d
TOOLTIP_FISHINGROD_LEVEL	Poziom: %d
TOOLTIP_FISHINGROD_UPGRADE1	Daj Rybakowi,
TOOLTIP_FISHINGROD_UPGRADE2	aby dostać
TOOLTIP_FISHINGROD_UPGRADE3	Ulepszoną Wędkę.
TOOLTIP_FISH_LEN	Długość: %,2fcm
TOOLTIP_HELMET	Hełm
TOOLTIP_HP_REGEN	Regeneracja PŻ: +%d%%	SA
TOOLTIP_INT	Inteligencja +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Wartość Ataku: %d
TOOLTIP_ITEM_ATT_POWER	Wartość Ataku: %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Wartość Ataku: %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Wartość Ataku: %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Szybkość Ataku: %s
TOOLTIP_ITEM_DEF_GRADE	Obrona %d
TOOLTIP_ITEM_FAST	Szybki
TOOLTIP_ITEM_LIMIT_CON	Górna granica Witalności: %d
TOOLTIP_ITEM_LIMIT_DEX	Górny limit Zręczności: %d
TOOLTIP_ITEM_LIMIT_INT	Górna granica Inteligencji: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Wymagany Poziom: %d
TOOLTIP_ITEM_LIMIT_STR	Górna granica Siły: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Wartość Magicznego Ataku: %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Wartość Magicznego Ataku: %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magiczna Obrona %d
TOOLTIP_ITEM_NORMAL	Normalny
TOOLTIP_ITEM_SLOW	Wolny
TOOLTIP_ITEM_VERY_FAST	Bardzo szybki
TOOLTIP_ITEM_VERY_SLOW	Bardzo wolny
TOOLTIP_ITEM_WEARABLE_JOB	[ Do ubrania ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Szczęśliwy Numer: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magiczny atak +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Wartość Magicznego Ataku: +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magiczna Obrona: +%d	SA
TOOLTIP_MALL_ATTBONUS	Wartość Ataku: +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Wartość Ataku: +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Ręka, która automatycznie podnosi upuszczone Yang.	SNA
TOOLTIP_MALL_DEFBONUS	Obrona: +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Obrona +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	Punkty Doświadczenia: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe DOŚ Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Zwiększa zdobywanie PD o 50%	SNA
TOOLTIP_MALL_FISH_MIND	Szansa schwytania rzadkiej ryby zostanie podwojona.	SNA
TOOLTIP_MALL_GOLDBONUS	Szansa na zdobycie Yang pomnożona o %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Szansa znalezienia Yang zostanie podwojona	SNA
TOOLTIP_MALL_ITEMBONUS	Szansa na zdobycie Przedmiotów pomnożona o %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Szansa na zdobycie Przedmiotów plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Podwojona szansa na zdobycie przedmiotu	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punkty Miłości szybciej się regenerują.	SNA
TOOLTIP_MALL_SAFEBOX	Zwiększona pojemność Magazynu	SNA
TOOLTIP_MAX_HP	Maks. PŻ: +%d	SA
TOOLTIP_MAX_HP_PCT	Maks. PŻ: +%d%%	SA
TOOLTIP_MAX_SP	Maks. PE: +%d	SA
TOOLTIP_MAX_SP_PCT	Maks. PE: +%d%%	SA
TOOLTIP_MAX_STAMINA	Maks. Wytrzymałość: +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magiczny/krótkodystansowy atak +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	BRAK NAZWY (%d, %d)
TOOLTIP_MOV_SPEED	Szybkość Ruchu %d%%	SA
TOOLTIP_NECK	Naszyjnik
TOOLTIP_NEED_ALL_SP	Wymagane PE: Maks.
TOOLTIP_NEED_GSP	Wymagany Duch Smoka: %d
TOOLTIP_NEED_HP	Wymagane PŻ: %d
TOOLTIP_NEED_HP_PER_SEC	PŻ / sek.: %d
TOOLTIP_NEED_SKILL_POINT	Wymagane Punkty Umiejętności:
TOOLTIP_NEED_SP	Wymagane PE: %d
TOOLTIP_NEED_SP_PER_SEC	PE / Sek.: %d
