11900	Smoking	Elegancki garnitur - w sam raz na œlub.
30266	Czêœæ Medalu (2)	Drugi od³amek medalu bohatera	
30267	Czêœæ Medalu (3)	Trzeci od³amek medalu bohatera	
30268	Czêœæ Medalu (4)	Czwarty od³amek medalu bohatera	
30269	Czêœæ Medalu (5)	Pi¹ty od³amek medalu bohatera	
30270	Od³amek Smoczego Kamienia	Fragment tajemniczego Smoczego Kamienia	
30311	Klucz Kryszta³u Duszy	Ten filigranowy klucz z niebieskim kryszta³em duszy otwiera wrota do 2. poziomu Diabelskich Katakumb.	
30312	Upiorny Totem	Ta drewniana tabliczka z wyrzeŸbionym grymasem s³u¿y jako klucz do 6. poziomu Diabelskich Katakumb.	
30315			
30316			
30317			
30318			
30319	Zasuszona G³owa	Ta zasuszona g³owa demona otwiera pieczêæ 3. poziomu Diabelskich Katakumb. Przedmiot ten jest zdatny do handlu.	
30320	Zasuszona G³owa	Ta zasuszona g³owa demona otwiera pieczêæ 3. poziomu Diabelskich Katakumb.	
30321	Upiorna Dynia	Dynia ta regeneruje P¯ lub PE. Jeœli dotkniesz j¹ czarodziejsk¹ ró¿d¿k¹, zamieni siê w upiorn¹ skrzyniê.	
30322	Czarodziejska Ró¿d¿ka	Ta czarodziejska ró¿d¿ka, kunsztownie wyciosana z magicznego drewna olchowego, potrafi zamieniæ ka¿d¹ upiorn¹ dyniê w upiorn¹ skrzyniê.	
30323	Karta Maski Dyni	Tê kartê maski dyni mo¿esz zamieniæ u Jacka Pumpkina na maskê dyni. Maska dyni zast¹pi jednak twoj¹ obecn¹ fryzurê.	
30324	Pajêczy Klucz	Otwiera wrota do kryjówki Baronówny Paj¹ków. Jest bardzo delikatny i ³amie siê po 24 godzinach. Mo¿e zostaæ u¿yty wy³¹cznie przez przywódcê grupy.	
30325	Pajêczy Klucz	Otwiera wrota do kryjówki Baronówny. £amie siê po 24 godzinach. Mo¿e zostaæ u¿yty wy³¹cznie przez przywódcê grupy.	
30326	Jad Królowej Paj¹ków	Ta wydzielina Królowej Paj¹ków potrzebna jest to craftingu Pajêczego Klucza.	
30327	Pajêczy Flet	Melodia tego instrumentu zwabia Baronównê Paj¹ków.	
30500	Rubinowy Ozdobny Nó¿	Narz¹dzie do uszlachetniania twojej broni	
30501	Z³ota Sprz¹czka	Element do uszlachetniania twojej broni	
30502	Rubinowa Ozdoba	Element do uszlachetnienia twojej broni	
30503	Ametystowy Ozdobny Nó¿	Narzêdzie do uszlachetnienia twojej broni	
30504	Srebrny Zacisk	Element do uszlachetniania twojej broni	
30505	Szmaragdowa Ozdoba	Element do uszlachetniania twojej broni	
30506	Szafirowy Ozdobny Nó¿	Narz¹dzie do uszlachetniania twojej broni	
30507	Br¹zowy Zacisk	Element do uszlachetniania twojej broni	
30508	Szafirowa Ozdoba	Element do uszlachetniania twojej broni	
30509	Niebieska Smocza Stal	Skóra ze smoka jest bardzo lekka, elastyczna i prawie niezniszczalna. Mo¿na j¹ przerobiæ jak metal i s³u¿y do produkcji zbroi.	
30510	Wytworny Naramiennik	Element do ozdoby zbroi	
30511	Czerwony Materia³	Delikatny materia³ do ozdoby zbroi	
30512	Czerwona Smocza Stal	Skóra ze smoka jest bardzo lekka, elastyczna i prawie niezniszczalna. Mo¿na j¹ przerobiæ jak metal i s³u¿y do produkcji zbroi.	
30513	Szlachetny Naramiennik	Element do ozdoby zbroi	
30514	Fioletowy Materia³	Delikatny materia³ do ozdoby zbroi	
30515	Purpurowa Smocza Stal	Skóra ze smoka jest bardzo lekka, elastyczna i prawie niezniszczalna. Mo¿na j¹ przerobiæ jak metal i s³u¿y do produkcji zbroi.	
30516	Antyczny Naramiennik	Element do ozdoby zbroi	
30517	Z³oty Materia³	Delikatny materia³ do ozdoby zbroi	
30518	Z³ota Przêdza	Magiczny zwój przêdzy z p³ynnego z³ota. Mo¿na go przerobiæ dodaj¹c kamieñ szlachetny na drogocenn¹ ozdobê.	
30519	Z³oty Hak	Zawiera czyste z³oto i mo¿na go przerobiæ dodaj¹c kamieñ szlachetny na drogocenn¹ ozdobê.	
30520	Z³ota Sprz¹czka	Zawiera czyste z³oto i mo¿na j¹ przerobiæ dodaj¹c kamieñ szlachetny na drogocenn¹ ozdobê.	
30521	Element Pierœcienia	Zawiera czyste z³oto i mo¿na go przerobiæ dodaj¹c kamieñ szlachetny na drogocenn¹ ozdobê.	
30522	Ogniwa £añcucha	Zawiera czyste z³oto i mo¿na je przerobiæ wraz z kamieniem szlachetnym na drogocenn¹ ozdobê.	
30523	Element Ozdoby	Zawiera czyste z³oto i mo¿na go przerobiæ wraz z kamieniem szlachetnym na drogocenn¹ ozdobê.	
30587	Ksiêga Mistrza Gry	Ksiêga z której mo¿e korzystaæ tylko i wy³¹cznie administracja serwera.	
31001	Kopia Inskrypcji	Jest to kopia inskrypcji znajduj¹cej siê na starym nagrobku.	
31002	Stary Dokument	Jest to dokument z czasów Mrocznego Narodu zawieraj¹cy dalsze wskazówki.	
31003	Antidotum	Jest to lekarstwo dla zatrutego ¿o³nierza.	
31004	Œwiêcona ¯ywica	Ta ¿ywica z b³ogos³awionego drzewa jest jednym ze sk³adników potrzebnych do wytworzenia £zy Niebios.	
31005	Nieb. Esencja Kryszta³u	Ta esencja z niebieskich kamieni szlachetnych potrzebna jest do wytworzenia £zy Niebios.	
31006	Czerw. Kwarc Piekie³	Ten mieni¹cy siê na czerwono kwarc sk³ada siê z Ziemi Wulkanicznej, P³on¹cej Grzywy oraz Kamienia Wêgielnego.	
31007	Ziemia Wulkaniczna	Ta podobna do popio³u substancja z Doyyumhwan potrzebna jest do wytworzenia Czerwonego Kwarcu Piekie³.	
31008	£za Niebios	Ten magiczny kamieñ szlachetny sk³ada siê z Niebieskiej Esencji Kryszta³u, Czerwonego Kwarcu Piekie³ i Œwiêconej ¯ywicy. Jego efekt odstrasza mroczne kreatury i trwa siedem dni.	
35000	Zio³a Lecznicze+	Wysuszone zio³a lecznicze. Niestety s¹ nieco zakurzone.	
35001	W¹troba Tygrysa+	Czerwonobr¹zowa, pokaŸna w¹troba wyroœniêtego kota drapie¿nego.	
38010	Pakiet Yang	Zysk Yang z gie³dy przedmiotów	
38050	Skrzynia Mocy	Skrzynia ta jest dziwnie lekka, tak jakby by³a pusta...	
38051	Kryszta³ Tygr. Bengalsk.	Aby ujarzmiæ duch dzikiego zwierza, potrzeba potê¿nych umiejêtnoœci magicznych. Ten kryszta³ zawiera jedn¹ z piêciu Pieczêci Tygrysa Bengalskiego.	
38052	Skrzynia Królów	Ta piêknie ozdobiona skrzynia zawiera zaiste królewski skarb. Przedmiot ten jest zdatny do handlu.	
38053	Skrzynia Wiecznej Zimy	Skrzynia ta jest wyciosana z litego lodu. Gdy unosisz jej wieko, z wnêtrza wydobywa siê lodowaty mróz.	
38054	Skrzynia Burzy Pustynnej	Ta tajemnicza skrzynia zawiera losowy przedmiot.	
38055	Skrzynia Szczeniaka	W tej skrzyni mo¿e znajdowaæ siê s³itaœne zwierz¹tko. Otwórz j¹ i odkryj losowy przedmiot.	
38056	Skrzynia Œwi¹t	Odœwiêtnie udekorowana jod³owymi ga³¹zkami skrzynia zawiera œwi¹teczn¹ niespodziankê.	
38100	Mega Przek¹ska (7 dni)	Przed³u¿a ¿ycie Twojego Mega Wierzchowca o 7 dni.	
38101	Mega Przek¹ska (15 dni)	Przed³u¿a ¿ycie Twojego Mega Wierzchowca o 15 dni.	
38102	Mega Przek¹ska (30 dni)	Przed³u¿a ¿ycie Twojego Mega Wierzchowca o 30 dni.	
38200	Pieczêæ Rufusa	Za pomoc¹ tej pieczêci mo¿esz przywo³aæ wilka Rufusa.	
38201	Pieczêæ Rufusa	Za pomoc¹ tej pieczêci mo¿esz przywo³aæ wilka Rufusa.	
39001	Magiczny Kamieñ	Kamieñ ten daje ci najwiêksz¹ szansê podczas ulepszania przedmiotów. Przedmiot ten nie mo¿esz zostaæ zniszczony ani pogorszony. Przedmiot ten jest zdatny do handlu.	
39002	Pierœcieñ Doœwiadczenia	Zwiêksza otrzymywane Punkty Doœwiadczenia o 50% na 60 minut. Przedmiot ten jest zdatny do handlu.	Brak mo¿liwoœci zdejmowania.
39003	Wino z Kwiatu Brzoskwini	Mikstura, która natychmiast regeneruje 500 Punktów ¯ycia. Przedmiot ten jest zdatny do handlu.	
39004	Marmur B³ogos³awieñstwa	Ten legendarny Marmur mo¿e dodaæ pi¹ty bonus do przedmiotów, które maj¹ ju¿ cztery bonusy. Dodawanie mo¿e siê nie udaæ. Przedmiot ten jest zdatny do handlu.	
39005	Magiczna Ruda Miedzi	Jeœli u¿yjesz go na ulepszonym Zwoju B³ogos³awieñstwa, mo¿esz stworzyæ Zwój B³ogos³awieñstwa Boga Wojny. Przedmiot ten jest zdatny do handlu.	
39006	Peleryna Mêstwa	Staro¿ytni wojownicy okazywali swoje mêstwo poprzez noszenie kolorowych peleryn. By³ to sposób na zwabienie wszystkich potworów z okolicy. Przedmiot ten jest zdatny do handlu.	
39007	Podrêcznik Kowala	Ksiêga zawiera duszê starego kowala. Jeœli jej u¿yjesz, zwiêkszy to szansê na pomyœlne ulepszenie przedmiotu. Przedmiot ten jest zdatny do handlu.	
39008	Zwój Egzorcyzmu	Uwalnia Ciê od kl¹twy z³ego ducha, jeœli proces nauki siê nie powiedzie. Za pomoc¹ tego zwoju mo¿esz przeczytaæ jeden dokument umiejêtnoœci dziennie. Przedmiot ten jest zdatny do handlu.	
39009	Zwój Powrotu Umiejêtn.	Przedmiot ten resetuje punkty Twoich umiejêtnoœci. Przedmiot ten jest zdatny do handlu.	
39010	Mikstura Ataku +10	Zwiêksza twoj¹ Szybkoœæ Ataku o 10% na okres 30 minut. Przedmiot ten jest zdatny do handlu.	
39011	B³ogos³awieñstwo ¯ycia	B³ogos³awieñstwo, które natychmiast regeneruje twoje Punkty ¯ycia do 100%. Przedmiot ten jest zdatny do handlu.	
39012	B³ogos³awieñstwo Magii	Natychmiastowo odnawia wszystkie Punkty Energii. Przedmiot ten jest zdatny do handlu.	
39013	B³ogos³awieñstwo Smoka	B³ogos³awieñstwo, które natychmiast regeneruje twoje P¯ oraz PE do 100%. Przedmiot ten jest zdatny do handlu.	
39014	Zwój Wojny	Zwój do ulepszeñ pob³ogos³awiony przez Boga Wojny. Gwarantuje pomyœlne ulepszenie przedmiotu (od +0 do +3). Przedmiot ten jest zdatny do handlu.	
39015	Kamieñ Kowala	Dziêki temu Kamieniowi i Zwojowi B³ogos³awieñstwa, mo¿esz wytworzyæ u Kowala Podrêcznik Kowala. Przedmiot ten jest zdatny do handlu.	
39016	Magiczny Metal	Metal potrzebny do wytworzenia Zwoju Smoka - wraz ze Zwojem B³ogos³awieñstwa u Kowala. Przedmiot ten jest zdatny do handlu.	
39017	¯ycie Boga Smoków	Zwiêksza iloœæ Punktów ¯ycia o 20% na okres 30 minut. Przedmiot ten jest zdatny do handlu.	
39018	Atak Boga Smoków	Zwiêksza obra¿enie jakie zadajesz podczas walki o 12-15% przez 30 min. Przedmiot ten jest zdatny do handlu.	
39019	Inteligencja Boga Smoków	Zwiêksza iloœæ Punktów Energii o 20% przez 30 min. Przedmiot ten jest zdatny do handlu.	
39020	Obrona Boga Smoków	Zmniejsza obra¿enia jakie otrzymujesz podczas walki o 12-15% przez 30 min. Przedmiot ten jest zdatny do handlu.	
39021	Wsparcie Boga Smoków	Witalnoœæ, Si³a, Inteligencja oraz Zrêcznoœæ twojej postaci zostan¹ tymczasowo zwiêkszone piêciokrotnie. Przedmiot ten jest zdatny do handlu.	
39022	Zwój Boga Smoków	Zwiêksza szansê na ulepszenie przedmiotu o 10% i przedmiot nie ulega zniszczeniu gdy ulepszenie zawiedzie. W przypadku niepowodzenia, jakoœæ przedmiotu jest redukowana o 1 poziom. Przedmiot ten jest zdatny do handlu.	
39023	Eliksir Poszukiwacza	Eliksir poprawia jakoœæ przedmiotów przeznaczonych do badañ, co powoduje zwiêkszenie szansy na ich przyjêcie. Przedmiot ten jest zdatny do handlu.	
39024	D³oñ Krytyka	Podnosi szansê na zadanie krytycznego uderzenia podczas walki o 20% przez 10 minut. Przedmiot ten jest zdatny do handlu.	
39025	D³oñ Przebicia	Podnosi szansê na zadanie przeszywaj¹cego uderzenia podczas walki o 20% przez 10 minut. Przedmiot ten jest zdatny do handlu.	
39026	Mikstura Szybkoœci	Zwiêksza Szybkoœæ Ruchu o 60 na 30 minut. Przedmiot ten jest zdatny do handlu.	
39027	Ksiêga Obróbki Kamienia	Usuwa zepsuty kamieñ z kieszeni ¿eby zwolniæ kieszeñ przedmiotu. Przedmiot ten jest zdatny do handlu.	
39028	Zaczarowanie Przedmiotu	Usuwa wszystkie bonusy z twojego jednego przedmiotu, po czym dodaje nowe. Przedmiot ten jest zdatny do handlu.	
39029	Wzmocnienie Przedmiotu	Przy odrobinie szczêœcia dodaje do jednego z twoich przedmiotów nowy bonus. (maks. 4 bonusy). Przedmiot ten jest zdatny do handlu.	
39030	Rada Pustelnika	Podnosi szansê na pomyœlne przeczytanie nastêpnej Ksiêgi Umiejêtnoœci (lub Kamienia Duchowego) na 250%. Przedmiot ten jest zdatny do handlu.	
39031	Mikstura Poœpiechu	Mikstura ta zwiêksza szybkoœæ regeneracji twoich umiejêtnoœci o 20 procent przez okres 30 minut. Przedmiot ten jest zdatny do handlu.	
39032	Owoc ¯ycia	Zwiêksza Punkty Rangi o 2000 punktów (czas regeneracji: 8 godzin). Przedmiot ten jest zdatny do handlu.	
39033	Zwój Korekcji	Zwój ten umo¿liwia usuniêcie ostatnio pomyœlnie dodanego Kamienia Duszy ze wskazanego przedmiotu. Przedmiot ten jest zdatny do handlu.	
39034	Cukier dla Konia	Ten Cukier pozwala nazwaæ twojego konia. Dodatkowo, zwiêksza jego poziom obrony. Przedmiot ten jest zdatny do handlu.	
39035	Szk³o Intuicji	Pozwala Ci na pokazanie innemu graczowi przedmiotu z twojego ekwipunku. Podczas tego procesu, Szk³o ulega zniszczeniu. Przedmiot ten jest zdatny do handlu.	
39036	Buty Wiatru	Gdy ich u¿ywasz, Szybkoœæ Ruchu twojej postaci jest zwiêkszona o 30 na okres 30 godzin grania. Przedmiot ten jest zdatny do handlu.	
39037	Eliksir S³oñca (M)	Automatycznie regeneruje twoje P¯. Zawiera 1.000.000 P¯. Mo¿na nim handlowaæ.	
39038	Eliksir S³oñca (Œ)	Automatycznie regeneruje twoje P¯. Zawiera 3.000.000 P¯. Mo¿na nim handlowaæ.	
39039	Eliksir S³oñca (D)	Automatycznie regeneruje twoje P¯. Zawiera 7.000.000 P¯. Mo¿na nim handlowaæ.	
39040	Eliksir Ksiê¿yca (M)	Automatycznie regeneruje twoje PE. Zawiera 100.000 PE. Mo¿na nim handlowaæ.	
39041	Eliksir Ksiê¿yca (Œ)	Automatycznie regeneruje twoje PE. Zawiera 300.000 PE. Mo¿na nim handlowaæ.	
39042	Eliksir Ksiê¿yca (D)	Automatycznie regeneruje twoje PE. Zawiera 700.000 PE. Mo¿na nim handlowaæ.	
39043	Zwój Powrotu	Zwój ten pozwala Ci wróciæ do miejsca, które ostatnio zapamiêta³eœ. Przedmiot ten jest zdatny do handlu.	
41001	Kostium Muszkietera	Ekstrawagancki kostium w stylu muszkieterów.
41002	Kostium Muszkietera+	Ekstrawagancki kostium w stylu muszkieterów. Daje min. jeden dodatkowy bonus. Przedmiotem tym mo¿na handlowaæ.
41003	Kostium Pokojówki	Czarna sukienka z bia³y fartuszkiem w stylu francuskiej pokojówki
41004	Kostium Pokojówki+	Czarna sukienka z bia³y fartuszkiem w stylu francuskiej pokojówki. Daje min. jeden dodatkowy bonus. Przedmiotem tym mo¿na handlowaæ.
45001	Fryzura Muszkietera	Zadbana krótka fryzura w stylu muszkieterów.
45002	Fryzura Muszkietera+	Zadbana krótka fryzura w stylu muszkieterów. Daje min. jeden dodatkowy bonus. Przedmiotem tym mo¿na handlowaæ.
45003	Czepek Pokojówki	Jasna fryzura na pazia z czepkiem pokojówki.
45004	Czepek Pokojówki+	Jasna fryzura na pazia z czepkiem pokojówki. Daje min. jeden dodatkowy bonus. Przedmiotem tym mo¿na handlowaæ.	
50001	Ksiêga Szczêœcia	Ksiêga ze szczêœliwymi numerami. Loteria jest prowadzona przez rz¹d.	
50002	Z³oty Pierœcieñ	Prosty, Z³oty Pierœcionek. | Mo¿e byæ sprzedany w sklepie za wysok¹ cenê.	
50003	Zwój Cofania Umiejêtn.	Pozwala na ponowne wybranie profesji postaci.	
50004	Wykrywacz Zdarzeñ	Pokazuje, gdzie mo¿na znaleŸæ misje.	
50005	Bilet Na Jazdê Konn¹	Po okazaniu tego biletu Stajennemu, bêdziesz móg³ jeŸdziæ konno przez okreœlony czas.	
50006	Z³ota Szkatu³ka	Zdobiona z³otem szkatu³ka | Mo¿e byæ otwarta przy u¿yciu Z³otego Klucza.	
50007	Srebrna Szkatu³ka	Zdobiona srebrem szkatu³ka. Mo¿e byæ otwarta przy u¿yciu Srebrnego Klucza.	
50008	Z³oty Klucz	Klucz ze z³ota. | Mo¿na nim otworzyæ Z³ot¹ Szkatu³kê i Z³ot¹ Szkatu³kê+.	
50009	Srebrny Klucz	Klucz ze srebra. | Mo¿na nim otworzyæ Srebrn¹ Szkatu³kê i Srebrn¹ Szkatu³kê+.	
50010	Skarpetka	Skarpetka zrobiona z ciep³ej owczej we³ny.	
50011	Szkat. Blasku Ksiê¿yca	Osza³amiaj¹ca dekoracja uwodz¹ca ludzi. Niesamowite rzeczy maj¹ miejsce, kiedy wystawi siê j¹ na oddzia³ywanie promieni ksiê¿yca.	
50012	Z³ota Szkatu³ka+	Zdobiona z³otem szkatu³ka.| Mo¿e byæ otwarta przy u¿yciu Z³otego Klucza.	
50013	Srebrna Szkatu³ka+	Zdobiona srebrem szkatu³ka. Mo¿e byæ otwarta przy u¿yciu Srebrnego Klucza.	
50016	Pasta Fasolowa	Sk³adnik staro¿ytnego ciasta fasolowego	
50017	Pasta Cukrowa	Sk³adnik staro¿ytnego ciasta cukrowego	
50018	Pasta Owocowa	Sk³adnik staro¿ytnego ciasta owocowego	
50019	S³odki Ry¿	Sk³adnik staro¿ytnego ciasta	
50020	Torcik Fasolowy	Staro¿ytne ciasto regeneruj¹ce wszystkie Punkty ¯ycia.	
50021	Torcik Cukrowy	Staro¿ytne ciasto regeneruj¹ce wszystkie Punkty Energii.	
50022	Torcik Owocowy	Staro¿ytne ciasto regeneruj¹ce ca³¹ Wytrzyma³oœæ.	
50023	Sakiewka Pieniêdzy	W œrodku znajduje siê noworoczna pensja.	
50024	Ró¿a	Romantyczny kwiat okazuj¹cy zauroczenie. Przedmiot mo¿e byæ u¿ywany tylko przez kobiety.	
50025	Czekolada	Zrobiona z kakao, mleka, mas³a i cukru. Dawana aby okazywaæ zauroczenie. Przedmiot mo¿e byæ u¿ywany tylko przez mê¿czyzn.	
50027	Bilet Na Loteriê	Nie ma loterii w grze. | Bezu¿yteczny przedmiot.	
50031	Ró¿a	Romantyczny kwiat okazuj¹cy zauroczenie. Przedmiot mo¿e byæ u¿ywany tylko przez mê¿czyzn.	
50032	Cukierek	Zrobiona z kakao, mleka, mas³a i cukru. Dawana aby okazywaæ zauroczenie. Przedmiot mo¿e byæ u¿ywany tylko przez kobiety.	
50033	Zagadkowa Szkatu³ka	Szkatu³ka, na której wygrawerowany jest jakiœ list. Prawdopodobnie coœ wyskoczy po jej otwarciu.	
50034	Szkatu³ka Z Zagadk¹	Czy ta szkatu³ka zawiera zagadkê?	
50035	Prezent (¿ó³ty)	£adnie zapakowany prezent	
50036	Prezent (fioletowy)	£adnie zapakowany prezent	
50037	Heksagonalna Szkatu³ka	Zrobiona ze specjalnego papieru. W œrodku znajduje siê prezent.	
50050	Medal Konny	Stajenny potrzebuje tego Medalu, aby wypisaæ na nim dotychczasowe osi¹gniêcia Twojego konia.	
50051	Zdjêcie Konia	Certyfikat na jazdê konn¹.	
50052	Ksiêga Opanc. Konia	Certyfikat na zaawansowan¹ jazdê konn¹. |Pozwala na ataki podczas jazdy konnej.	
50053	Ksiêga Wojskowego Konia	Certyfikat na mistrzowsk¹ jazdê konn¹. |Pozwala na u¿ywanie umiejêtnoœci jeŸdzieckich.	
50054	Siano	Wysuszone siano do karmienia konia.	
50055	Marchewka	Ulubione warzywo konia.	
50056	Czerwony ¯eñ-szeñ	Duszony ¯eñ-szeñ. Tylko wojskowe konie jedz¹ Czerwony ¯eñ-szeñ.	
50057	Zio³o Z £atwych Ma³p	Legendarne Zio³o, które mo¿e zostaæ u¿yte do wskrzeszenia zwyk³ego Konia. Aby je zdobyæ, nale¿y udaæ siê do £atwego Lochu Ma³p.	
50058	Zio³o Z Normalnych Ma³p	Legendarne Zio³o, które mo¿e zostaæ u¿yte do wskrzeszenia Konia Bojowego. Aby je zdobyæ, nale¿y udaæ siê do Normalnego Lochu Ma³p.	
50059	Zio³o Z Trudnych Ma³p	Legendarne Zio³o, które mo¿e zostaæ u¿yte do wskrzeszenia Konia Wojskowego. Aby je zdobyæ, nale¿y udaæ siê do Trudnego Lochu Ma³p.	
50060	Instr. Jazdy Konnej	Mo¿esz otrzymaæ 1 Punkt Umiejêtnoœci JeŸdziectwa kiedy j¹ przeczytasz. Znika po przeczytaniu.	
50067	Zwój Ewolucji	Jest to potê¿ny, prastary zwój z pergaminu. Dziêki niemu mo¿esz wyszkoliæ swojego m³odzika na Dzikiego Wierzchowca.	
50068	Zwój Mutacji	Jest to potê¿ny, prastary zwój z pergaminu. Dziêki niemu mo¿esz wyszkoliæ swojego Dzikiego Wierzchowca na Dzielnego Wierzchowca.	
50069	Szkat. W³ad. Wie¿y Hwang	Szkatu³ka W³adcy Wie¿y Hwang. Coœ cennego znajduje siê w œrodku.
50070	Szkatu³ka Wodza Orków	Szkatu³ka Wodza Orków. Coœ cennego znajduje siê w œrodku.	
50071	Szkatu³ka Ezot. W³adcy	Szkatu³ka Ezoterycznego W³adcy. Coœ cennego znajduje siê w œrodku.	
50072	Szkat. Odrodz. W³adcy	Szkatu³ka Reinkarnowanego Ezoterycznego W³adcy. Coœ cennego znajduje siê w œrodku.	
50073	Szkat. Królowej Paj¹ków	Szkatu³ka Królowej Paj¹ków. Coœ cennego znajduje siê w œrodku.	
50074	Szkatu³ka Olbrz. Paj¹ka	Szkatu³ka Olbrzymiego Paj¹ka. Coœ cennego znajduje siê w œrodku.	
50075	Szkat. Nosiciela Plagi	Szkatu³ka Olbrzymiego Nosiciela Plagi. Coœ cennego znajduje siê w œrodku.	
50076	Szkat. Pustynnego ¯ó³wia	Szkatu³ka Pustynnego ¯ó³wia. Coœ cennego znajduje siê w œrodku.	
50077	Szkat.Dziewiêciu Ogonów	Szkatu³ka Dziewiêciu Ogonów. Coœ cennego znajduje siê w œrodku.	
50078	Szkat. ¯ó³tego Tygrysa	Szkatu³ka Zjawy ¯ó³tego Tygrysa. Coœ cennego znajduje siê w œrodku.	
50079	Szkat. Ognistego Króla	Szkatu³ka Ognistego Króla. Coœ cennego znajduje siê w œrodku.	
50080	Szkat. Czerwonego Smoka	Szkatu³ka Czerwonego Smoka. Coœ cennego znajduje siê w œrodku.	
50081	Szkat. Króla Demonów	Szkatu³ka Króla Demonów. Coœ cennego znajduje siê w œrodku.	
50082	Szkat. Umar³ego Rozpruw.	Szkatu³ka Umar³ego Rozpruwacza. Coœ cennego znajduje siê w œrodku.	
50083	Bilet Na Jazdê Konn¹	Po okazaniu tego biletu Stajennemu, bêdziesz móg³ jeŸdziæ konno przez okreœlony czas.	
50084	Kamieñ Otwarcia	Kamieñ otacza aura przepe³niona energi¹. Dzia³a przeciw sile Magicznej Pieczêci.	
50091	Sushi z Welonki	Zrobione ze Z³otego Karasia. | Specjalny posi³ek.	
50092	Sushi Z Karpia	Zrobione z Karasia. | Specjalny posi³ek. Unikalny zapach, trudno zjeœæ.	
50093	Sushi Z £ososia	Specjalne danie zrobione z £ososia i zimnego ry¿u. Zwiêksza si³ê Ataku o 10 punktów na 30 sekund.	
50094	Sushi z Suma	Specjalne danie zrobione z Suma i zimnego ry¿u. Zwiêksza si³ê Obrony o 10 punktów na 30 sekund.	
50096	Pi³ka	Podkrêæ pi³kê jak Baljit-Elvedin!	
50100	Ogniste Petardy	Fioletowe fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50101	Ogniste Petardy	¯ó³te fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50102	Ogniste Petardy	B³êkitne fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50103	Ogniste Petardy	Czerwone fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50104	Ogniste Petardy	Zielone fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50105	Ogniste Petardy	Bia³e fajerwerki wype³niaj¹ niebo podczas festiwalu.	
50106	Œwi¹t. Ogniste Petardy	Œwi¹teczne fajerwerki. W porównaniu ze zwyk³ymi petardami, te zapewniaj¹ lepsze wra¿enia wizualne.	
50108	Fajerwerki	B¹k miotaj¹cy iskry.	
50120	¯elazna Szkatu³ka	Stabilny pojemnik pochodz¹cy z Groty Wygnañców.	
50121	¯elazne Pude³ko	Stabilny pojemnik pochodz¹cy z Groty Wygnañców.	
50122	¯elazna Skrzynia	Stabilny pojemnik pochodz¹cy z Groty Wygnañców.	
50124	Spróchnia³a Skrzynia	Wydaje siê, ¿e ze œrodka dochodz¹ ciche odg³osy zwierz¹t.	
50125	Exalioñska Skrzynia	Ciê¿ka skrzynia uznawana za zaginione bogactwa wschodnich krain. Niew¹tpliwie zawiera ona bardzo cenne przedmioty.	
50126	Tajemnicza Skrzynia	Ta Skrzynia jest podejrzanie lekka, jakby by³a pusta...	
50127	Taj. Szmaragd. Skrzynia	Otwarta Szmaragdowa Skrzynia	
50128	Taj. Szafirowa Skrzynia	Szafirowa Skrzynia bez zamku. Mo¿na j¹ od razu otworzyæ a jej wnêtrze skrywa cenn¹ tajemnicê...	
50129	Taj. Ametystowa Skrzynia	Otwarta Ametystowa Skrzynia	
50130	Staro¿ytna Skrzynia	Wydaje siê, ¿e ze œrodka dochodz¹ ciche odg³osy zwierz¹t.	
50131	Taj. Cytrynowa Skrzynia	Cytrynowa Skrzynia bez zamku. Mo¿na j¹ od razu otworzyæ a jej wnêtrze skrywa cenn¹ tajemnicê...	
50133	Taj. Szmaragd. Skrzynia	Zamkniêta Szmaragdowa Skrzynia, która mo¿e zostaæ otwarta jedynie za pomoc¹ specjalnego klucza. Mówi siê, ¿e zawartoœæ tej skrzyni jest równie drogocenne, jak sama skrzynia.	
50135	Taj. Ametystowa Skrzynia	Zamkniêta Ametystowa Skrzynia, która mo¿e zostaæ otwarta jedynie za pomoc¹ specjalnego klucza. Mówi siê, ¿e zawartoœæ tej skrzyni jest równie drogocenne, jak sama skrzynia.	
50136	Taj. Topazowa Skrzynia	Zamkniêta Topazowa Skrzynia, która mo¿e zostaæ otwarta jedynie za pomoc¹ specjalnego klucza. Mówi siê, ¿e zawartoœæ tej skrzyni jest równie drogocenne, jak sama skrzynia.	
50137	Taj. Cytrynowa Skrzynia	Zamkniêta Cytrynowa Skrzynia, która mo¿e zostaæ otwarta jedynie za pomoc¹ specjalnego klucza. Mówi siê, ¿e zawartoœæ tej skrzyni jest równie drogocenne, jak sama skrzynia.	
50150	Rubinowy Klucz	Za pomoc¹ tego klucza mo¿na otworzyæ zamkniêt¹ Rubinow¹ Skrzynie. Ciekawe, co skrywa jej wnêtrze.	
50151	Szmaragdowy Klucz	Za pomoc¹ tego klucza mo¿na otworzyæ zamkniêt¹ Szmaragdow¹ Skrzynie. Ciekawe, co skrywa jej wnêtrze.	
50152	Szafirowy Klucz	Za pomoc¹ tego klucza mo¿na otworzyæ zamkniêt¹ Szafirow¹ Skrzynie. Ciekawe, co skrywa jej wnêtrze.	
